baristas,price,profit
3.0,8.0,909.5
3.0,8.0,1248.0
3.0,8.0,1538.3
3.0,8.0,1337.5
3.0,8.0,1096.4
3.0,8.0,1462.4
3.0,8.0,1303.1
3.0,8.0,1669.3
3.0,8.0,1376.1
3.0,8.0,1113.5
3.0,8.0,1127.3
3.0,8.0,1240.9
3.0,8.0,1300.1
3.0,8.0,1483.5
3.0,8.0,1296.4
3.0,8.0,1531.1
3.0,8.0,1472.2
3.0,8.0,1141.0
3.0,8.0,1282.5
3.0,8.0,1268.8
3.0,8.0,1261.5
3.0,8.0,1342.1
3.0,8.0,1403.3
3.0,8.0,1251.4
3.0,8.0,1192.8
3.0,8.0,1279.1
3.0,8.0,1217.1
3.0,8.0,1182.7
3.0,8.0,943.7
3.0,8.0,1271.8
3.0,8.0,857.7
3.0,8.0,1337.6
3.0,8.0,1403.5
3.0,8.0,1431.2
3.0,8.0,1299.2
3.0,8.0,1358.5
3.0,8.0,1224.1
3.0,8.0,1314.1
3.0,8.0,1157.9
3.0,8.0,1268.8
3.0,8.0,1143.9
3.0,8.0,1220.3
3.0,8.0,1114.3
3.0,8.0,1257.8
3.0,8.0,1303.5
3.0,8.0,1396.6
3.0,8.0,1192.4
3.0,8.0,1489.0
3.0,8.0,1178.5
3.0,8.0,1213.5
3.0,8.0,1327.3
3.0,8.0,1414.1
3.0,8.0,1168.0
3.0,8.0,1575.8
3.0,8.0,1389.6
3.0,8.0,1150.9
3.0,8.0,1248.1
3.0,8.0,1224.1
3.0,8.0,1258.6
3.0,8.0,1341.7
3.0,8.0,1213.4
3.0,8.0,1303.6
3.0,8.0,1289.1
3.0,8.0,1165.3
3.0,8.0,1361.7
3.0,8.0,1406.6
3.0,8.0,1189.3
3.0,8.0,1133.7
3.0,8.0,1296.0
3.0,8.0,1144.4
3.0,8.0,1240.4
3.0,8.0,1199.3
3.0,8.0,1224.0
3.0,8.0,1279.2
3.0,8.0,1047.3
3.0,8.0,1292.8
3.0,8.0,1310.5
3.0,8.0,1123.5
3.0,8.0,1216.5
3.0,8.0,1337.3
3.0,8.0,1478.8
3.0,8.0,1302.7
3.0,8.0,1268.8
3.0,8.0,1288.9
3.0,8.0,1241.0
3.0,8.0,1216.8
3.0,8.0,1199.6
3.0,8.0,1195.8
3.0,8.0,1420.9
3.0,8.0,1289.2
3.0,8.0,1469.1
3.0,8.0,1223.8
3.0,8.0,1081.9
3.0,8.0,1399.6
3.0,8.0,1303.2
3.0,8.0,1213.3
3.0,8.0,1117.1
3.0,8.0,1100.0
3.0,8.0,1286.1
3.0,8.0,1237.9
3.0,8.0,1251.4
3.0,8.0,1389.4
3.0,8.0,1403.5
3.0,8.0,1293.0
3.0,8.0,1238.2
3.0,8.0,1427.3
3.0,8.0,1459.0
3.0,8.0,1390.1
3.0,8.0,1230.7
3.0,8.0,1261.6
3.0,8.0,1323.7
3.0,8.0,1092.6
3.0,8.0,1372.4
3.0,8.0,1144.7
3.0,8.0,1081.7
3.0,8.0,995.7
3.0,8.0,1411.0
3.0,8.0,1358.9
3.0,8.0,1566.0
3.0,8.0,1119.6
3.0,8.0,1092.0
3.0,8.0,1410.7
3.0,8.0,1504.7
3.0,8.0,1420.8
3.0,8.0,1348.3
3.0,8.0,1320.2
3.0,8.0,905.9
3.0,8.0,1244.2
3.0,8.0,1320.7
3.0,8.0,1188.8
