baristas,price,profit
2.0,10.0,1817.1
2.0,10.0,1821.5
2.0,10.0,1670.3
2.0,10.0,1438.6
2.0,10.0,1687.9
2.0,10.0,1434.3
2.0,10.0,1456.6
2.0,10.0,1781.3
2.0,10.0,1478.4
2.0,10.0,1691.8
2.0,10.0,1384.4
2.0,10.0,1478.9
2.0,10.0,1492.0
2.0,10.0,1678.2
2.0,10.0,1768.3
2.0,10.0,1536.2
2.0,10.0,1714.6
2.0,10.0,1683.7
2.0,10.0,1589.6
2.0,10.0,1799.2
2.0,10.0,1678.9
2.0,10.0,1304.9
2.0,10.0,1727.8
2.0,10.0,1509.9
2.0,10.0,1473.9
2.0,10.0,1313.7
2.0,10.0,1589.6
2.0,10.0,1478.0
2.0,10.0,1545.1
2.0,10.0,1727.8
2.0,10.0,1888.3
2.0,10.0,1562.9
2.0,10.0,1652.6
2.0,10.0,1767.5
2.0,10.0,1572.0
2.0,10.0,1585.6
2.0,10.0,1482.7
